,Page Url,Job,Location,Type,Description,Organization
0,https://jobs.hopkinsmedicine.org/job/administrative-coordinator-clerical-and-administrative-support-johns-hopkins-intrastaff-1993-cff71/,Administrative Coordinator,"Johns Hopkins Intrastaff, Baltimore, MD 21201",Economics,"Johns Hopkins Intrastaff is the internal staffing agency for the Johns Hopkins Health System and partner hospitals, providing temporary support to a variety of the Johns Hopkins locations. Our employees are the strength of our service.  Intrastaff is unique because it's one of the very few agencies where a person has the benefit of being a temporary employee and also feels like a member of a large organization. Working at Hopkins means joining a culturally diverse team that includes some of the best nurses, physicians and allied health professionals in the world. Directly or indirectly, you'll have exposure to cutting-edge technology and groundbreaking medical research.
Administrative Coordinators tyically work a 40 hour week. 
The Administrative Coordinator assists in the performance of routine and complex administrative duties which may include maintaining project data, preparing various payroll and personnel forms and answering questions regarding department policies and procedures.  Responsible for coordinating a variety of department projects, activities and schedules. 
",Johns Hopkins
1,https://jobs.hopkinsmedicine.org/job/administrative-coordinator-clerical-and-administrative-support-johns-hopkins-intrastaff-2231-d8ebd/,Administrative Coordinator,"Johns Hopkins Intrastaff, Baltimore, MD 21201",Economics,"Johns Hopkins Intrastaff is the internal staffing agency for the Johns Hopkins Health System and partner hospitals, providing temporary support to a variety of the Johns Hopkins locations. Our employees are the strength of our service.  Intrastaff is unique because it's one of the very few agencies where a person has the benefit of being a temporary employee and also feels like a member of a large organization. Working at Hopkins means joining a culturally diverse team that includes some of the best nurses, physicians and allied health professionals in the world. Directly or indirectly, you'll have exposure to cutting-edge technology and groundbreaking medical research.
Administrative Coordinators tyically work a 40 hour week on both short and medium term assignements. 
The Administrative Coordinator assists in the performance of routine and complex administrative duties which may include maintaining project data, preparing various payroll and personnel forms and answering questions regarding department policies and procedures.  Responsible for coordinating a variety of department projects, activities and schedules.
Schedule: 40 hours, 8:00AM - 4:30PM 
",Johns Hopkins
2,https://jobs.hopkinsmedicine.org/job/administrative-coordinator-pool-clerical-and-administrative-support-johns-hopkins-intrastaff-2049-bbc32/,Administrative Coordinator - Pool,"Johns Hopkins Intrastaff, Baltimore, MD 21201",Economics,"Johns Hopkins Intrastaff is the internal staffing agency for the Johns Hopkins Health System and partner hospitals, providing temporary support to a variety of the Johns Hopkins locations. Our employees are the strength of our service.  Intrastaff is unique because it's one of the very few agencies where a person has the benefit of being a temporary employee and also feels like a member of a large organization. Working at Hopkins means joining a culturally diverse team that includes some of the best nurses, physicians and allied health professionals in the world. Directly or indirectly, you'll have exposure to cutting-edge technology and groundbreaking medical research.
Administrative Coordinators tyically work a 40 hour week on both short and medium term assignements. 
The Administrative Coordinator assists in the performance of routine and complex administrative duties which may include maintaining project data, preparing various payroll and personnel forms and answering questions regarding department policies and procedures.  Responsible for coordinating a variety of department projects, activities and schedules. 
",Johns Hopkins
3,https://jobs.hopkinsmedicine.org/job/administrative-operations-manager-manager-supervisor-johns-hopkins-community-p-348003-1d956/,ADMINISTRATIVE OPERATIONS MANAGER,"Johns Hopkins Community Physicians, Baltimore, MD 21201",Economics,"Johns Hopkins Community Physicians is looking for an Administrative Operations Manager (AOM) at our Remington Internal Medicine Practice in Baltimore, Maryland. The Administrative Operations Manager reports to the Practice Administrator at a comprehensive, multi-specialty site. The AOM is responsible for assisting the Practice Administrator in the daily operations of the health center with an emphasis on managing front office staff including budget management and the hiring, supervision, staffing, evaluation and discipline of Human Resources.The Administrative Operations Manager must demonstrate, through leadership example, visible organizational support and a positive attitude to create a positive work environment.    Functions as the Practice Administrator in their absence. 
Location: 2700 Remington Ave.; Baltimore, Maryland 21211
Shift: Exempt - Full-time - 40 hours per week
Requirements: 
 Bachelor's Degree or equivalent related experience in lieu of degree required.  Two years of healthcare management experience with direct supervision of staff is required.  Two years’ experience must be in an ambulatory care setting.  Must demonstrate a record of increasing job responsibility linked to accomplishments in health care management.  Experience using a standard personal computer including word processing, spreadsheet software, EMR and a computer based patient information system.  
Johns Hopkins Health System and its affiliates are drug-free workplace employers.
",Johns Hopkins
4,https://jobs.hopkinsmedicine.org/job/administrative-staff-coordinator-clerical-and-administrative-support-johns-hopkins-community-p-342324-86a23/,Administrative Staff Coordinator,"Johns Hopkins Community Physicians, Baltimore, MD 21201",Economics,"Johns Hopkins Community Physicians is looking for a Administrative Staff Coordinator at our Remington practice in Baltimore, Maryland. The Administrative Staff Coordinator assists in performance of routine and complex administrative duties which includes maintaining project data, preparing various payroll and personnel forms and answering questions regarding department policies and procedures.  Responsible for coordinating a variety of department projects, activities and schedules.   May oversee work of support staff.
Location: 2700 Remington Ave., Baltimore, Maryland 21211
Shift: Non-Exempt, Full-time - 40 hours per week
Requirements:
 Two years of college, business school, or equivalent preferred.  HS Diploma required. Requires analytical ability to gather data, analyze budget reports, generate monthly  reports, and interpret department policies and procedures. Demonstrated ability to identify, analyze and solve problems. Ability to plan, organize, complete, and manage programs in the most efficient manner.  Ability to display industriousness, conscientiousness and diligence in performing tasks.  Three or more years of related experience. 
Johns Hopkins Health System and its affiliates are drug-free workplace employers.
",Johns Hopkins
5,https://jobs.hopkinsmedicine.org/job/ambulatory-operations-manager-manager-supervisor-johns-hopkins-hospital-b-333764-8d041/,Ambulatory Operations Manager,"Johns Hopkins Hospital, Baltimore, MD 21201",Economics,"Position Summary:
The Manager for Ambulatory Services is responsible for the day-to-day operations in a designated clinic within the Johns Hopkins Outpatient Center (JHOPC). Under the direction of the Assistant Administrator for Ambulatory Services, the Manager proactively assesses and implements appropriate processes to ensure that all facets of ambulatory practice management are effectively addressed. This includes patient access, complete and accurate registration, revenue cycle management, payor contracting compliance, insurance referral and preauthorization requirements, health information management, patient flow, environmental safety, regulatory compliance, patient safety, quality initiatives, and patient experience. The Manager works collaboratively with physicians, nurses, and staff to ensure timely patient access to care, operational efficiency, practice optimization, and fiscal integrity. The position works with the Clinical Department Administrator (or their designee) to support the implementation or enhancement of clinic programs and services aligned with the Departments' strategic priorities.
Full Time – 40 hours per week 
8:00am to 4:30pm 
Education:
Bachelor’s Degree in Healthcare Administration or related field is required. In addition, 2 years of related experience required. 
Knowledge of ambulatory operations. Knowledge of physician and hospital billing systems preferred. Knowledge of physician office and clinical operations. Knowledge of clinical and business compliance requirements. Knowledge of business development and technology deployment in a clinical setting. Accountable for budget in coordination with Director of Finance, Administrator and Assistant Director of Finance. Organizes and prioritizes work to meet changing priorities. Develops and recommends departmental policies to senior management of the department. Uses sound judgment and data to identify potential problems, and works collaboratively with others to achieve improvement. Develops and interprets information from a variety of systems and reports. Participates in the continued evaluation and improvement of the patient registration process. Develops innovative means to deliver content knowledge through effective training programs.
Location:
JHH, 601 North Caroline Street, Baltimore, MD  21287 - Location - Ambulatory Services- Adult Medicine Clinic
Johns Hopkins Health System and its affiliates are drug-free workplace employers.
We are committed to providing a healthy and safe environment for our patients, visitors and staff members. The Johns Hopkins Hospital has a tobacco-free at work policy. Employees must refrain from using any tobacco products during their work shifts — including while at lunch or on breaks, and whether they are on or off campus.
",Johns Hopkins
6,https://jobs.hopkinsmedicine.org/job/ambulatory-supervisor-orthopaedics-neurology-clinics-leadership-johns-hopkins-hospital-b-348626-da60d/,Ambulatory Supervisor - Orthopaedics/Neurology Clinics,"Johns Hopkins Hospital, Baltimore, MD 21201",Economics,"The Ambulatory Supervisor is responsible for supervising, training, and motivating team members. The Ambulatory Supervisor provides leadership, guidance, and supervision of the front desk staff to ensure the provision of safe, quality care in an efficient and productive manner.  The Ambulatory Supervisor will have demonstrated proficiency in the skillsets required to perform the duties of the Patient Service Coordinator role.  Participates in the interviewing, hiring and orientation of new staff and the following training, competency assessment, and performance evaluation processes.  The Ambulatory Supervisor will work in collaboration with the Nurse Leads, Nurse Manager and Ambulatory Operations Manager to implement workflows, ensure patient safety and address the patient experience. The Supervisor will be an expert in the billing practices of the department to ensure billing compliance and will maintain the integrity of the revenue cycle by addressing billing workqueues. Assumes management responsibilities in the absence of the Ambulatory Operations Manager. 
Full-time, DayShift
8:00 a.m. - 4:30 p.m.
Work Location:  Johns Hopkins Outpatient Center, Baltimore, MD
Pay Grade: MC
Requirements:
A. A. degree required. Experience beyond the minimum work experience requirement may be substituted on a 2 years' experience for 1 year of education basis. 
Three to five years in a clinic or hospital setting; prior supervisory experience preferred.Knowledge:•Understanding of ambulatory practice management, physician office and/or clinical operations including appointment scheduling and registration•Knowledge of third party insurance and accountable/managed care concepts•Knowledge of physician billing, hospital billing, and regulatory requirements preferred•Knowledge of computer applications such as Microsoft Office, EPIC, Kronos, and SAPSkills:•Excellent interpersonal communication skills •Strong customer service focus for both patients/family and providers in the clinic•Demonstrates initiative and leadership qualities•Mature judgment and a high level of motivation and professionalism•Analytical ability to evaluate practice metrics and make recommendations to improve operating procedures •Ability to prioritize and pursue multiple tasks in tandem•Ability to represent clinic effectively at institutional level meetings and with outside entities•Financial skills necessary to manage budgets and appropriately control expenses 
Johns Hopkins Health System and its affiliates are drug-free workplace employers.
We are committed to providing a healthy and safe environment for our patients, visitors and staff members. The Johns Hopkins Hospital has a tobacco-free at work policy. Employees must refrain from using any tobacco products during their work shifts — including while at lunch or on breaks, and whether they are on or off campus.
",Johns Hopkins
7,https://jobs.hopkinsmedicine.org/job/appeals-director-leadership-johns-hopkins-health-care-322503-f54ab/,Appeals Director,"Johns Hopkins Health Care, Hanover, MD 21076",Economics,"Johns Hopkins HealthCare (JHHC) is the managed care and health services business of Johns Hopkins Medicine, one of the premier health delivery, academic, and research institutions in the United States.  JHHC is a $2.5B business serving over 400,000 lives with lines of business in Medicaid, Medicare, commercial, military health, health solutions, and venture investments.  JHHC has become a leader in provider-sponsored health plans and is poised for future growth.  
Many organizations talk about transforming the future of healthcare, Johns Hopkins HealthCare is actually doing it.  We develop innovative, analytics-driven health programs in collaboration with provider partners to drive improved quality and better health outcomes for the members and communities we serve.  If you are interested in improving how healthcare is delivered, join the JHHC team. 
 POSITION SUMMARY: Reporting to the Chief Medical Officer of Health Services the Appeals Director has responsibility for the effective operation of the appeals within JHHC.  The Appeals Director will provide leadership and oversight to JHHC’s appeals function for all lines of business, including the processing of member appeals, provider appeals and payment disputes, as well as ensuring compliance with State regulations, clinical appropriateness of determinations, and quality of customer service. The Appeals Director will also oversee, and maintain relationships with outside physician reviewers. Duties include ongoing monitoring and tracking of department inventory; maintaining adequate staffing, ensuring adequate staff training and ongoing education; ensuring regulatory requirements are met. Also establishes performance metrics for both the vendor and internal functions to ensure excellent service delivery to our members and providers. Also ensures JHHC maintains the highest possible standards of quality and operational compliance in line with JHHC’s strategic goals, accreditation, regulatory and CMS STARS rating measures. The Appeals Director will serve as primary contact for state regulatory agencies and consumer advocacy agencies regarding member appeal issues. COMPETENCIES:    A.           Education: Master of Science in health care related field     B.    Knowledge: Work requires knowledge of the health field and managed care case management/utilization management processes as acquired during five years of related experience with at least five years of management responsibilities.  Comprehensive knowledge of CMS, DOL, COMAR and DOD regulations related to benefits and appeals.  In-depth knowledge of data acquisition, data analysis, reporting, and use of data to make decisions is necessary.     C.    Skills: Work requires a high level of interpersonal skills to effectively interact with all levels of staff, clients, regulatory bodies, attorneys, etc. Work collaboratively with other departments to solve problems, to improve processes, and to integrate services within other departments. Lead, coordinate, and monitor policy and procedural changes and maintain the process for revision and implementation that supports plan regulatory compliance. Assess departmental performance in relation to established goals and standards; recommend new approaches, workflows, policies and procedures to effect continual progress toward goals and standards. Review and analyze appeals data along with audit results to improve root causes of member dissatisfaction and implement action plans and workflows for improvement to achieve member/provider satisfaction and operational effectiveness/efficiencies.  Perform audits to monitor compliance with policies and regulatory requirements, as well as ensuring process/operational efficiencies. Report periodically on Appeals activities and trends to the Quality Assurance and Performance Improvement Committee. Work requires excellent communication and writing skills.      
   D.    Required Licensure, Certification, Etc.: Active Maryland RN licensure required, if hired with a degree in nursing.     E.    Work Experience Work requires a minimum of five years of leadership experience which includes progressive management responsibilities in the areas of managed care, utilization management, quality management or claims management.   Medicare Advantage experience preferred.     F.    Machines, Tools, Equipment: Must be able to operate general office and communications equipment. Must be computer literate.     
   A.    Budget Responsibility: Monitoring of departmental efficiency and waste.  Manages an annual departmental budget of $1.5 million.     B.    Authority/Decision Making         Level: Develops and recommends policies to senior management. Makes decisions on staffing requests. Make decisions regarding work processes based on established guidelines. Prioritize work load of the appeals staff, and works independently with limited supervision.     C.    Supervisory Responsibility: Provide a supportive, inclusive, and team-first environment for the entire appeals and pended claims unit staff and appeals manager;  Responsible for strategic and proactive hiring, performance management and coaching/mentoring/training to enhance professional development. Provides guidance and direction to other departmental management and staff.  Responsible for adequate scheduling and coverage of the appeals area.     Problem  Solving: Perform critical thinking as it relates to appeals and pend unit activities.  Utilizes defined policies and procedures to ensure consistent application of appeals regulations and criteria. Diagnose operational challenges, implementing solutions where gaps are identified Evaluate and recommend support strategies to meet system integration requirements Oversee the design and analysis of organizational, divisional and departmental statistical reports on appeal volume, disposition and drivers are correct and presented throughout JHHC annually.     Information  Management: Must be able to use and understand medical records, UB92 forms and HCFA 1500 forms, benefits and regulations related to appeals.      Working  Conditions: Works in normal office environment where there are no physical discomforts dues to temperature, noise, dust, etc. Work is sedentary in nature, however, some standing, stooping, bending, and walking is required.  The position requires keyboard activity, pulling, filing, and duplicating. Work requires minimal travel.   
",Johns Hopkins
8,https://jobs.hopkinsmedicine.org/job/assistant-director-of-finance-finance-johns-hopkins-hospital-b-337423-108e8/,Assistant Director of Finance,"Johns Hopkins Hospital, Baltimore, MD 21201",Economics,"Position Summary:
Reporting to the Director of Finance, the Assistant Director - Finance is responsible for the budgeting, reporting, analysis, and management of both the University and Hospital financial activities of the Department(s). The position works closely with the Director of Finance, departmental administration, and other Financial Leadership throughout JHM to support the management of Department(s) finances across multiple campuses. (JHH, JHBMC, HCGH, JHI, etc.) Managing a team of analysts and financial personnel, this position coordinates all departmental funds, is responsible for reconciling the movement of funds between JHM entities, and for the design, implementation, and ongoing compliance with financial policies and procedures. This position is also responsible for variance analysis/projections for the Department(s) and to perform financial analyses as required, in order to maintain fiscal control and explore program opportunities within the Department(s). He/She will be responsible for accounting for the Department(s) income and expense ledgers and supporting the JHM budget projections and changes. He/She will provide support to all managers and leadership on an as needed basis in order to facilitate the strategic mission of the Department(s) and JHM.
Education:
Bachelor’s degree in Finance, Accounting, or related field; Master’s degree preferred.
Work Experience:
Requires high degree of knowledge of financial and cost accounting principles, operating expense budgeting, and annual operating plan development as would be obtained from seven to years of progressively responsible related experience. Requires experience in developing and presenting financial information to executive level audiences, and co-ordination of staff in providing support services to clients in decentralized or consulting environments.
Licensure/Certification:
CPA preferred
Shift:
Full Time, Day Shift (40 hours)
8:30 am - 5:00 pm
Location:
JHH, 600 N. Wolfe Street, Baltimore, MD  21287
Johns Hopkins Health System and its affiliates are drug-free workplace employers.
We are committed to providing a healthy and safe environment for our patients, visitors and staff members. The Johns Hopkins Hospital has a tobacco-free at work policy. Employees must refrain from using any tobacco products during their work shifts — including while at lunch or on breaks, and whether they are on or off campus.
",Johns Hopkins
9,https://jobs.hopkinsmedicine.org/job/assistant-director-budget-and-reporting-jhm-finance-johns-hopkins-health-syst-321568-97e87/,"Assistant Director, Budget and Reporting JHM","Johns Hopkins Health System, Baltimore, MD 21201",Economics,"POSITION SUMMARY: 
Responsible for budget development, coordination, and execution for assigned areas in John Hopkins Medicine.  This position serves as the coordinator for JHM’s budget preparation and reporting solutions.  This person will collaborate with both central and JHM affiliate teams to ensure that budget guidelines are adhered to, processes are completed in timely manner, and budget data is accurate and tracked regularly, thus creating a credible and consistent repository for budget reporting, and analysis, across JHM.  
Reporting to the Executive Director, Budget & Financial Analysis JHM, this position will require detailed knowledge of budgeting systems and direct working relationships with Decision Support and affiliate financial teams to ensure system readiness for annual budgeting.  Responsibilities include both volume/capacity planning and financial preparation, preparing budgeting tools for end-user access, and coordination with the Director – JHM Budget Planning to publish instructions for the affiliates and SOM departments.  Additional responsibilities of this position will include creation of the guidelines for annual financial targets and calculation of those targets, oversight of budgeted financial statement consolidation (in collaboration with the JHHS Controller’s Office).  
Initially, this role will support the Executive Director, Budget & Financial Analysis JHM, in efforts already underway to standardize the JHM operating budget process and utilization of our decision support tool across JHM.    Longer-term goals will include working in tandem with IT and Decision Support to continue the current efforts to consistently utilize of our system capabilities across JHM affiliates, supporting the Executive Director in integration of capital budgeting and forecasting into the annual operating budget process, and establishment of standard management reporting capabilities to support financial analysis across JHM.  
EDUCATION: 
Requires professional level of knowledge in finance or accounting equivalent to that acquired through completion of a Bachelor’s degree program in a college or university. Master’s degree in Finance, Accounting, or healthcare related fields is preferred. 
WORK EXPERIENCE:
Seven plus years of progressively responsible experience in financial and cost accounting, operating expense budgeting, and annual operating plan development, preferably in a hospital or healthcare environment, including 2 years management capacity.  Requires experience in developing and presenting financial information to audiences of various levels, and co-ordination of staff in providing support services to clients in decentralized or consulting environments. 
KNOWLEDGE:
Requires an understanding of financial planning and budgeting procedures and systems as well as high levels of proficiency in the finance/accounting area as would normally be acquired during five to eight years of budget and finance related experience.
SHIFT:
Days, Full Time (40 hours) 
8:30 a.m. - 5:30 p.m.
Weekend Work Not Required
Exempt, Pay Grade: MM
LOCATION:
Keswick, 3910 Keswick Road - South Building - Baltimore MD 21211
Johns Hopkins Health System and its affiliates are drug-free workplace employers.
",Johns Hopkins
