,Page URL,Name,Description,Amount
0,https://www.rockefellerfoundation.org/grant/grant-2020-381/,Africa Public Health Foundation 2020,in support of the Partnership to Accelerate COVID-19 Testing  in collaboration with the Africa Centers for Disease Control and Prevention,"$12,000,000"
1,https://www.rockefellerfoundation.org/grant/grant-2020-305/,University of Texas Health Science Center at Houston 2020,In support of advancing the research on healthy food prescriptions among food insecure populations,"$544,916"
2,https://www.rockefellerfoundation.org/grant/grant-2020-315/,East Bay Community Foundation 2020,for use by its Real People’s Fund toward the costs of implementing a community capital fund aimed at creating a more inclusive economy in the East Bay region of California,"$500,000"
3,https://www.rockefellerfoundation.org/grant/grant-2020-356/,IDFC Foundation 2020,in support of modeling COVID-19 vaccination strategies in India,"$200,000"
4,https://www.rockefellerfoundation.org/grant/grant-2020-349/,Bread for the World Institute 2020,"in support of coordinating a network of faith leaders who are working to reduce food-insecurity among vulnerable populations at the national and state levels through food systems education, outreach, and advocacy","$50,000"
5,https://www.rockefellerfoundation.org/grant/grant-2020-395/,Acre Capital Limited 2020,in support of developing an export credit agency impact fund targeting critical social infrastructure in emerging markets around the world that aim to deliver social and environmental benefits for the benefit of certain vulnerable populations (the “Fund”),"$460,000"
6,https://www.rockefellerfoundation.org/grant/grant-2020-364/,Lumira DX UK Ltd. 2020,"in support of the purchase, deployment, and scale of LumiraDx multi-use, point-of-care testing devices and test kits to African Union member states to increase access to accurate and timely COVID-19 testing.","$2,999,700"
7,https://www.rockefellerfoundation.org/grant/grant-2020-365/,"RF Catalytic Capital, Inc. 2020","in support of an advanced market commitment to a medical supply distributor to enable the proactive sourcing, purchasing and stocking of an array of rapid COVID tests for the ultimate sale to states and aligned buyers","$30,000,000"
8,https://www.rockefellerfoundation.org/grant/grant-2020-346/,Duke University 2020,in support of community-level research on the impact of produce prescription programs on low-income communities,"$47,620"
9,https://www.rockefellerfoundation.org/grant/grant-2020-393/,Founders First Community Development Corporation Inc. 2020,"in general support of its mission to grow and expand diverse, founder-led small businesses throughout the U.S.","$1,000,000"
11,https://www.rockefellerfoundation.org/grant/grant-2020-377/,Pan American Health Organization 2020,"in support of providing technical assistance and protocols to countries in the Latin America and Caribbean region to expand testing capacity, improve surveillance systems, and establish contact tracing strategies with the aim of controlling the COVID-19 pandemic and enabling communities to remain open","$3,000,000"
12,https://www.rockefellerfoundation.org/grant/grant-2020-399/,Mahila SEWA Trust 2020,in support of efforts to improve use of agricultural analytics by small and marginalized farmers across India,"$100,000"
13,https://www.rockefellerfoundation.org/grant/grant-2020-392/,International Senior Lawyer's Corporation 2020,"in general support of its mission to provide pro bono legal assistance to support just, accountable, and inclusive development","$100,000"
14,https://www.rockefellerfoundation.org/grant/grant-2020-371/,Duke University 2020,"for use by its Duke Margolis Center for Health Policy, in support of activities to develop, pilot, and refine COVID-19 testing strategies and approaches that guide the reopening of businesses, schools and communities in the United States","$1,198,785"
15,https://www.rockefellerfoundation.org/grant/grant-2020-332/,"Black Business Investment Fund, Inc. 2020",toward the costs of its Contractor Assistance Program to provide capital combined with business development training to strengthen the business capacity of black-owned contracting companies in Miami-Dade County,"$400,000"
16,https://www.rockefellerfoundation.org/grant/grant-2020-352/,Health Care Without Harm 2020,"in support of its Healthy Food in Health Care initiative to leverage the food purchasing power of hospitals in order to increase the supply of healthy, sustainable, and equitably-sourced food for vulnerable populations","$400,000"
17,https://www.rockefellerfoundation.org/grant/grant-2020-350/,2020,in support of developing a road map for the implementation of food safety standards for fresh produce in Kenya,"$183,500"
